"Meter,","Time,","W,","V,","A,","WH,","Cost,","WH/Mo,","Cost/Mo,","Wmax,","Vmax,","Amax,","Wmin,","Vmin,","Amin,","PF,","DC,","PC,","HZ,",VA,
ttyS3, 2021-03-08 15:56:50.860399,19.3,121.9,0.126,262.9,0.021,770.2,0.616,592.6,123.3,4.968,0,115.9,0,100,0,7,60.1,0,
ttyS3, 2021-03-08 15:56:51.860399,0,122.3,0,635.3,0.05,750,0.6,81.9,125.6,1.837,0,119.1,0,100,0,7,59.9,0, 
ttyS3, 2021-03-08 15:56:52.860399,1.2,123.6,0,775.5,0.062,573.2,0.458,87.9,125.5,1.274,0,116.8,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:53.860399,0,122.5,0,890.8,0.071,479.3,0.383,84.3,126,0.841,0,119.9,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:54.860399,0,121.7,0,874.6,0.069,369.9,0.295,0,123.8,0,0,118.5,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:55.860399,0,122.6,0,1199.8,0.095,418,0.334,99.3,125.4,1.059,0,118.3,0,100,0,7,59.9,0, 
ttyS3, 2021-03-08 15:56:56.860399,0,124.1,0,1253.2,0.1,371.2,0.297,92,125.3,0.973,0,120,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:57.860399,0,122.4,0,1554.2,0.124,400.4,0.32,98.3,125.5,1.049,0,110.3,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:58.860399,0,121.1,0,1731.5,0.138,394.7,0.315,91.1,125.4,0.934,0,118.3,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:56:59.860399,0,122,0,2059.6,0.164,420.9,0.336,83.3,123.7,0.876,0,118.3,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:00.860399,0,124.2,0,2205.4,0.176,408.5,0.326,80.5,125.6,2.266,0,119.9,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:01.860399,0,124.3,0,2522.6,0.201,427.2,0.341,83.1,125.2,0.836,0,119.9,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:02.860399,0,122.2,0,2526.2,0.202,394.1,0.315,64.6,125.7,0.721,0,120.1,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:03.860399,0,122.5,0,2508.8,0.2,362.8,0.29,0,124.3,0,0,119.4,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:04.860399,0,123.6,0,2492.3,0.199,335.8,0.268,0,125.6,0,0,118.7,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:05.860399,0,123.6,0,2475.9,0.198,312.3,0.249,0,125.7,0,0,119.8,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:06.860399,1.5,123.4,0,2579.7,0.206,305.9,0.244,46.5,125.6,1.5,0,118.9,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:07.860399,21.8,122.9,0.313,2941.7,0.235,329.1,0.263,93.3,126.2,2.038,0,120,0,53,0,7,60,0, 
ttyS3, 2021-03-08 15:57:08.860399,0,121.8,0,3427.8,0.274,362.9,0.29,122.7,123.8,1.156,0,118.5,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:09.860399,13.7,123.8,0.076,4010,0.32,403,0.322,124.8,125.7,1.171,0,119.1,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:10.860399,57.7,123.1,0.615,4521.1,0.361,432.4,0.345,86.7,125.6,0.879,0,119.6,0,74,0,7,60,0, 
ttyS3, 2021-03-08 15:57:11.860399,1.7,123.4,0,4874.6,0.389,444.7,0.355,92.5,124.7,0.874,0,107.2,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:12.860399,1,121.6,0,5133.5,0.41,447.7,0.358,87.9,124.2,1.089,0,0.4,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:13.860399,0,123.8,0,5197,0.415,434,0.347,89,126.2,0.93,0,1.7,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:14.860399,21.1,123.6,0.119,5517.5,0.441,442.1,0.353,104.7,125.2,1.139,0,116.7,0,92,0,7,60,0, 
ttyS3, 2021-03-08 15:57:15.860399,0,120.5,0,5649.6,0.451,435.1,0.348,81.1,125.8,0.857,0,119.8,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:16.860399,1,122.2,0,5690.8,0.455,421.8,0.337,90.9,125.5,1.032,0,99.5,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:17.860399,0,121,0,5701.5,0.456,407.4,0.325,1.2,124.8,0,0,116.2,0,100,0,7,60,0, 
ttyS3, 2021-03-08 15:57:18.860399,1,122.7,0,5720.9,0.457,394.5,0.315,42.5,125.5,0.542,0,118.6,0,100,0,7,59.9,0, 
ttyS3, 2021-03-08 15:57:19.860399,1,123.6,0,5747.2,0.459,382.9,0.306,1.2,125.8,0.06,0.9,120,0,100,0,7,60.1,0, 
ttyS3, 2021-03-08 15:57:20.860399,0.8,121.9,0,2,0,40.8,0.032,10,125.8,0.175,0,118.3,0,100,0,14,60.1,0, 
ttyS3, 2021-03-08 15:57:21.860399,12.1,121.7,0.099,44.4,0.003,1125,0.9,25,126,0.274,0.8,118.2,0,100,0,15,59.9,0, 
ttyS3, 2021-03-08 15:57:22.860399,13.1,122.6,0.051,504.8,0.04,926,0.74,15.8,125.8,0.126,11.9,118.6,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:23.860399,13.7,121.4,0.056,972.9,0.077,925.9,0.74,16.3,123.6,0.128,12.4,118.8,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:24.860399,13.2,122.3,0.107,1446.7,0.115,929.4,0.743,16.8,126,0.123,12.5,117.6,0,100,0,15,60,0, 
ttyS3, 2021-03-08 15:57:25.860399,9.2,123.9,0,1874.4,0.149,908.9,0.727,16.4,125.7,0.128,8.5,120,0,100,0,15,60.1,0, 
ttyS3, 2021-03-08 15:57:26.860399,8.9,122.3,0,2191.3,0.175,853.3,0.682,14.5,126.6,0.112,8.4,119.3,0,100,0,15,60,0, 
