YYYY-MM-DD,HH:MM:SS.ssssss,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,HZ,VA,
ttyS3, 2021-05-18 19:00:32.015195,35.9,122.9,0.313,1.3,0,2731.2,7.101,47.8,123.2,0.498,34.4,122.5,0.27,89,0,0,60,401, 
ttyS3, 2021-05-18 19:00:33.015195,35.6,122.3,0.369,2.7,0,2717.6,7.065,46.8,123.1,0.482,35.5,122.1,0.272,90,0,0,60,393, 
ttyS3, 2021-05-18 19:00:34.015195,46.1,122.2,0.413,4.1,0.001,2733.9,7.108,53.3,122.5,0.536,33,121.9,0.271,91,0,0,60,506, 
ttyS3, 2021-05-18 19:00:35.015195,42,122.2,0.419,5.8,0.001,2870.4,7.463,93.4,122.6,1.228,32.3,122,0.255,88,0,0,59.9,477, 
ttyS3, 2021-05-18 19:00:36.015195,48.9,122.2,0.382,7,0.001,2820.6,7.333,48.9,122.5,0.55,32.5,122,0.255,89,0,0,60,548, 
ttyS3, 2021-05-18 19:00:37.015195,37.6,122.2,0.315,8.3,0.002,2787.1,7.246,48.9,122.4,0.476,32.6,121.9,0.257,98,0,0,60,383, 
ttyS3, 2021-05-18 19:00:38.015195,33.5,122,0.332,9.6,0.002,2758.2,7.171,47.2,122.4,0.463,32.5,121.9,0.26,85,0,0,60,393, 
ttyS3, 2021-05-18 19:00:39.015195,20.3,122,0.152,10.6,0.002,2672.1,6.947,42.1,122.3,0.443,18.8,121.7,0.114,100,0,0,59.9,203, 
ttyS3, 2021-05-18 19:00:40.015195,19,122.1,0.174,11.4,0.002,2543.1,6.612,29.1,122.2,0.297,18.9,121.7,0.114,100,0,0,60,190, 
ttyS3, 2021-05-18 19:00:41.015195,29.8,121.9,0.218,12.4,0.003,2499.5,6.498,45.7,122.2,0.422,19,121.6,0.111,95,0,0,59.9,312, 
ttyS3, 2021-05-18 19:00:42.015195,29.4,121.9,0.254,13.5,0.003,2470.6,6.423,40,122.1,0.386,27.5,121.5,0.179,100,0,0,60,294, 
ttyS3, 2021-05-18 19:00:43.015195,29.4,122,0.268,14.6,0.003,2450.1,6.37,40.9,122.2,0.398,28,121.6,0.177,100,0,0,60,294, 
ttyS3, 2021-05-18 19:00:44.015195,29,121.9,0.187,15.7,0.004,2429.2,6.316,36.1,122.2,0.364,28.1,121.5,0.175,100,0,0,59.9,290, 
ttyS3, 2021-05-18 19:00:45.015195,35.4,122.1,0.278,16.7,0.004,2404.3,6.251,38.5,122.1,0.375,26,121.5,0.156,100,0,0,60,354, 
ttyS3, 2021-05-18 19:00:46.015195,32,121.9,0.217,17.7,0.004,2387.9,6.208,40,122.2,0.353,27.7,121.8,0.178,100,0,0,60,320, 
ttyS3, 2021-05-18 19:00:47.015195,29.5,121.8,0.2,18.8,0.004,2376,6.177,42.3,122.2,0.427,28,121.6,0.181,100,0,0,60,295, 
ttyS3, 2021-05-18 19:00:48.015195,28.2,122.1,0.223,19.9,0.005,2366,6.151,41.9,122.5,0.398,27.2,121.3,0.189,98,0,0,60,286, 
ttyS3, 2021-05-18 19:00:49.015195,21.8,122.4,0.156,20.9,0.005,2347.1,6.102,37,122.6,0.366,18.7,121.9,0.125,100,0,0,60,218, 
ttyS3, 2021-05-18 19:00:50.015195,20.1,122.2,0.133,21.7,0.005,2306.5,5.997,33.9,122.5,0.368,18.9,121.9,0.12,100,0,0,59.9,201, 
